638576, 23.9962, 1.24433, 48.4, 1359, 39632, 425, 343
648576, 24.1131, 1.24894, 50.2, 1384, 40562, 418, 360
658576, 24.1841, 1.25118, 49.4, 1392, 41074, 416, 355
668576, 24.0997, 1.24542, 50.4, 1421, 42029, 415, 336
678576, 24.2465, 1.25162, 49.2, 1461, 43273, 393, 360
688576, 24.1512, 1.24534, 50.4, 1454, 43461, 394, 381
698576, 24.3192, 1.25266, 49.4, 1500, 43783, 429, 419
708576, 23.9022, 1.22988, 47.6, 1502, 44018, 425, 384
718576, 23.7211, 1.21929, 48, 1526, 44136, 460, 399
728576, 23.8373, 1.22401, 47.8, 1541, 44838, 445, 391
738576, 24.188, 1.24077, 49.4, 1559, 45816, 473, 383
748576, 24.3915, 1.24996, 49.8, 1602, 46684, 456, 405
758576, 24.1716, 1.23748, 50, 1621, 47495, 455, 406
768576, 23.9595, 1.22543, 48.2, 1639, 47409, 475, 417
778576, 24.832, 1.26885, 49.4, 1676, 49195, 459, 409
788576, 23.8443, 1.21723, 47.8, 1688, 48361, 476, 442
798576, 24.1809, 1.23328, 49.6, 1697, 49287, 491, 433
808576, 24.791, 1.26323, 50, 1729, 50843, 481, 455
818576, 24.8448, 1.26483, 50, 1738, 52105, 518, 450
828576, 24.1326, 1.22748, 49, 1765, 51452, 504, 454
838576, 24.3022, 1.23502, 48.4, 1780, 52193, 498, 444
848576, 24.0052, 1.21887, 48.2, 1830, 52501, 482, 484
858576, 24.6355, 1.2498, 49.6, 1831, 54119, 552, 477
868576, 24.2326, 1.22832, 49.2, 1880, 53988, 556, 477
878576, 24.5271, 1.24221, 50, 1866, 55111, 551, 487
888576, 24.5372, 1.24169, 49.6, 1899, 55616, 559, 471
898576, 24.547, 1.24117, 49, 1911, 56403, 553, 484
908576, 24.2135, 1.22332, 49, 1943, 56427, 571, 495
918576, 24.6858, 1.24619, 50.6, 1993, 58021, 535, 519
928576, 24.7469, 1.24829, 51.4, 2006, 59081, 591, 518
938576, 24.2358, 1.22156, 48.6, 2021, 58486, 553, 518
948576, 24.8871, 1.25342, 51, 2026, 60165, 619, 516
958576, 25.2583, 1.27115, 51.6, 2066, 61394, 594, 547
968576, 24.7815, 1.24621, 49.8, 2104, 62122, 571, 530
978576, 24.5121, 1.23174, 49.4, 2081, 61446, 578, 522
988576, 24.8661, 1.24861, 51.2, 2125, 62413, 594, 562
998576, 24.652, 1.23696, 48.2, 2115, 62604, 619, 522
1008576, 24.8297, 1.24498, 49.4, 2152, 63507, 646, 532
1018576, 24.7505, 1.24012, 48.8, 2207, 64580, 631, 579
1028576, 24.4245, 1.22293, 49.2, 2226, 64443, 609, 566
1038576, 25.1875, 1.26024, 52.8, 2244, 66472, 631, 578
1048576, 24.8954, 1.24477, 50, 2245, 66498, 674, 586
